Day,Action,Price,Return,Total Balance
11,buy,228.9850921630859,0.0,9771.014907836914
14,buy,220.0764007568359,0.0,9550.938507080078
15,buy,221.60104370117188,0.0,9329.337463378906
16,buy,220.0465087890625,0.0,9109.290954589844
17,sell,220.13619995117188,-3.8643966418616227,9329.427154541016
18,buy,219.3389892578125,0.0,9110.088165283203
19,buy,221.88006591796875,0.0,8888.208099365234
23,buy,216.03060913085935,0.0,8672.177490234375
24,buy,219.91696166992188,0.0,8452.260528564453
25,sell,228.0683135986328,3.6314265474684992,8680.328842163086
27,buy,225.6767120361328,0.0,8454.652130126953
28,buy,226.5735626220703,0.0,8228.078567504883
31,sell,226.99208068847656,2.432766965923897,8455.07064819336
32,buy,232.183837890625,0.0,8222.886810302734
34,buy,225.98562622070312,0.0,7996.901184082031
36,buy,226.0055694580078,0.0,7770.895614624023
37,sell,220.9134826660156,0.39399574286551453,7991.809097290039
38,buy,224.9791717529297,0.0,7766.829925537109
40,buy,228.2377014160156,0.0,7538.592224121094
41,sell,226.75294494628903,3.380135795082981,7765.345169067383
42,sell,230.48980712890625,3.880358145431869,7995.834976196289
43,sell,233.03086853027344,7.8693753018658015,8228.865844726562
47,buy,235.6516571044922,0.0,7993.21418762207
48,sell,235.03382873535156,6.873897743330466,8228.248016357422
51,buy,230.5994110107422,0.0,7997.64860534668
52,sell,232.5824432373047,3.060010551760523,8230.231048583984
55,buy,225.11868286132812,0.0,8005.112365722656
56,sell,222.1291961669922,-1.9615556217789745,8227.241561889648
58,sell,222.66729736328125,-4.098709287347861,8449.90885925293
59,buy,221.9398498535156,0.0,8227.969009399414
60,buy,226.6831817626953,0.0,8001.285827636719
62,buy,223.69039916992188,0.0,7777.595428466797
64,buy,224.57826232910156,0.0,7553.017166137695
65,buy,227.6708068847656,0.0,7325.34635925293
67,buy,227.4712829589844,0.0,7097.875076293945
69,buy,228.44891357421875,0.0,6869.426162719727
73,buy,234.49432373046875,0.0,6634.931838989258
74,sell,234.3646545410156,3.707770472149103,6869.296493530273
75,sell,236.7588806152344,4.757985027986035,7106.055374145508
76,sell,239.013427734375,6.238024556716574,7345.068801879883
77,sell,242.06607055664065,6.0587576262957885,7587.134872436523
78,sell,242.4252014160156,2.8743885762364476,7829.560073852539
80,buy,242.2555999755859,0.0,7587.304473876953
81,sell,246.1562042236328,6.746241521044445,7833.460678100586
83,sell,245.89682006835935,9.229859087186664,8079.357498168945
84,sell,247.36329650878903,11.455106720155655,8326.720794677734
86,sell,250.4358673095703,10.478362515548527,8577.156661987305
87,sell,252.8699951171875,13.044634930934132,8830.026657104492
89,sell,249.1888885498047,10.958596778453211,9079.215545654297
91,sell,254.6557159423828,11.85259956111786,9333.87126159668
92,sell,257.57867431640625,13.235688903574939,9591.449935913086
93,sell,258.39666748046875,13.109168889315177,9849.846603393555
94,buy,254.9749298095703,0.0,9594.871673583984
95,sell,251.5930938720703,7.291762917577119,9846.464767456055
98,buy,242.7743682861328,0.0,9603.690399169922
99,buy,244.4104156494141,0.0,9359.279983520508
101,sell,242.11593627929688,-0.05765137990746515,9601.395919799805
103,buy,233.83592224121097,0.0,9367.559997558594
105,buy,237.2975616455078,0.0,9130.262435913086
107,buy,229.4265594482422,0.0,8900.835876464844
109,buy,223.29135131835935,0.0,8677.544525146484
111,buy,222.2438812255859,0.0,8455.300643920898
112,buy,229.3068389892578,0.0,8225.99380493164
113,sell,237.68663024902344,-6.780391928515778,8463.680435180664
115,sell,237.0182342529297,-2.3709809539773863,8700.698669433594
116,buy,235.4320831298828,0.0,8465.266586303711
118,sell,232.23977661132812,-4.9795909907308165,8697.506362915039
120,buy,232.6587677001953,0.0,8464.847595214844
121,sell,227.08221435546875,-2.8882251371008345,8691.929809570312
122,buy,227.3518524169922,0.0,8464.57795715332
123,sell,232.3153533935547,-2.0995615030363886,8696.893310546875
124,sell,236.55978393554688,3.109153754674126,8933.453094482422
125,sell,241.21368408203125,8.026433920460716,9174.666778564453
126,sell,244.2796630859375,9.915135453373605,9418.94644165039
127,sell,244.14984130859375,6.472987192515125,9663.096282958984
129,sell,245.508056640625,4.279779279353142,9908.60433959961
131,sell,246.77639770507812,6.067955291104623,10155.380737304688
135,sell,241.5232696533203,6.233253472831154,10396.904006958008
136,buy,237.71826171875,0.0,10159.185745239258
137,sell,235.6210174560547,-0.8822394407277852,10394.806762695312
139,buy,235.0218048095703,0.0,10159.784957885742
140,sell,238.7569122314453,1.5892599518165658,10398.541870117188
142,buy,220.55078125,0.0,10177.991088867188
144,buy,209.4053955078125,0.0,9968.585693359375
145,buy,213.21041870117188,0.0,9755.375274658203
146,sell,213.71974182128903,-3.0972637639255547,9969.095016479492
147,buy,212.4114532470703,0.0,9756.683563232422
148,sell,214.95811462402344,2.65166000271649,9971.641677856445
151,sell,220.44091796875,3.3912504424617893,10192.082595825195
152,buy,223.45697021484375,0.0,9968.625625610352
154,sell,223.5568389892578,5.247073814434827,10192.18246459961
156,buy,221.8390960693359,0.0,9970.343368530273
158,buy,223.59678649902344,0.0,9746.74658203125
160,buy,188.13330078125,0.0,9558.61328125
161,buy,181.2223663330078,0.0,9377.390914916992
162,buy,172.19419860839844,0.0,9205.196716308594
163,sell,198.5895843505859,-11.128489677609508,9403.78630065918
165,buy,197.89048767089844,0.0,9205.895812988281
166,sell,202.25477600097656,-8.828164383719928,9408.150588989258
167,buy,201.87527465820312,0.0,9206.275314331055
169,buy,196.72203063964844,0.0,9009.553283691406
170,buy,192.9070281982422,0.0,8816.646255493164
171,buy,199.4784240722656,0.0,8617.167831420898
173,buy,208.09710693359375,0.0,8409.070724487305
174,sell,209.00592041015625,-6.525525843785288,8618.076644897461
177,sell,212.22171020507812,12.803905169259039,8830.298355102539
179,sell,205.08106994628903,13.16542990584248,9035.379425048828
180,sell,198.62953186035156,15.352046390408297,9234.00895690918
182,sell,195.99298095703125,-0.9588670664265753,9430.001937866211
183,buy,197.2313690185547,0.0,9232.770568847656
184,buy,198.27000427246097,0.0,9034.500564575195
185,sell,210.7899932861328,4.4159536837897955,9245.290557861328
186,buy,212.92999267578125,0.0,9032.360565185547
187,sell,212.3300018310547,7.934023017481263,9244.690567016602
189,sell,211.2599945068359,9.513891992433358,9455.950561523438
191,sell,206.86000061035156,3.7004385674371587,9662.810562133789
193,buy,201.36000061035156,0.0,9461.450561523438
194,buy,195.27000427246097,0.0,9266.180557250977
195,sell,200.2100067138672,-3.7901056559346737,9466.390563964844
197,buy,199.9499969482422,0.0,9266.440567016602
198,buy,200.8500061035156,0.0,9065.590560913086
199,sell,201.6999969482422,2.2656780977204036,9267.290557861328
201,sell,202.82000732421875,2.29485194619011,9470.110565185547
202,buy,200.6300048828125,0.0,9269.480560302734
205,buy,202.6699981689453,0.0,9066.810562133789
207,buy,199.1999969482422,0.0,8867.610565185547
208,buy,196.4499969482422,0.0,8671.160568237305
209,sell,198.4199981689453,-6.814443716686565,8869.58056640625
211,sell,196.5800018310547,-2.373857153758443,9066.160568237305
212,sell,201.0,2.934396272939058,9267.160568237305
213,sell,201.5,0.7751953365415838,9468.660568237305
215,sell,201.55999755859375,0.3534933699291165,9670.220565795898
216,buy,201.0,0.0,9469.220565795898
217,sell,201.0800018310547,0.22429194900584767,9670.300567626953
219,sell,207.82000732421875,2.5410811673173255,9878.120574951172
220,buy,212.44000244140625,0.0,9665.680572509766
221,sell,213.5500030517578,7.203818435421043,9879.230575561523
223,sell,210.0099945068359,6.902518589586089,10089.24057006836
225,sell,212.41000366210935,5.676618737367834,10301.650573730469
226,sell,211.16000366210935,-0.6025224838010176,10512.810577392578
228,buy,209.11000061035156,0.0,10303.700576782227
229,sell,210.16000366210935,0.502129524505298,10513.860580444336
232,buy,212.47999572753903,0.0,10301.380584716797
233,buy,214.3999938964844,0.0,10086.980590820312
235,sell,213.7599945068359,0.602409076164612,10300.740585327148
236,sell,213.8800048828125,-0.2425321961170214,10514.620590209961
241,buy,202.3800048828125,0.0,10312.240585327148
242,sell,203.3500061035156,0.4792969647692087,10515.590591430664
